Sal28, Oherba, Site054, 1.0
Pdolic, Ocolla, Site008, 1.0
Sal9, Hleuca, Site272, 1.0
Tspfou, Hangli, Site041, 1.0
Sal14, Osamol, Site077, 1.0
Etorym, Onival, Site026, 1.0
Cflavi, Oobscu, Site035, 1.0
Sal9, Hleuca, Site306, 1.0
Chalci, Oarcti, Site143, 1.0
Broman, Oretus, Site195, 1.0
Sal9, Hpruss, Site320, 1.0
Sal7, Ohelve, Site025, 1.0
Pdolic, Oproxi, Site010, 1.0
Svesic, Ovimin, Site185, 1.0
Claevi, Elappc, Site078, 1.0
Sal9, Hpruss, Site060, 1.0
Pponta, Ovaria, Site017, 1.0
Sal18, Obridg, Site098, 1.0
Chalci, Etesta, Site175, 1.0
Pdolic, Ovimin, Site041, 1.0
Broman, Omacul, Site026, 1.0
Geliss, Egemmh, Site107, 1.0
Pcynip, Ospset, Site144, 1.0
Peuura, Ehasta, Site024, 1.0
Ichnin, Hischn, Site159, 1.0
Sal25, Heryth, Site174, 1.0
Sal11, Eatraa, Site130, 1.0
Chalci, Eatraa, Site178, 1.0
Sal9, Hpruss, Site134, 1.0
Lflexi, Osamol, Site052, 1.0
Ilappo, Oarcti, Site052, 1.0
Smorle, Hleuca, Site259, 1.0
Sal18, Obridg, Site153, 1.0
Sal17, Onival, Site237, 1.0
Sal50, Opolar, Site047, 1.0
Ilappo, Ovaria, Site067, 1.0
Sal14, Elappc, Site085, 1.0
Chalci, Opedun, Site224, 1.0
Sal5, Ohasta, Site028, 1.0
Bracin, Omacul, Site035, 1.0
Eacicu, Oarcti, Site077, 1.0
Broman, Oobscu, Site002, 1.0
Eacicu, Ovimin, Site157, 1.0
Hruber, Ovesic, Site002, 1.0
Chalci, Elappc, Site168, 1.0
Lpunct, Halien, Site282, 1.0
Pdolic, Oobscu, Site192, 1.0
Eacicu, Oadaph, Site004, 1.0
Svesic, Ogalla, Site018, 1.0
Ichnin, Epurpu, Site106, 1.0
Sal14, Osamol, Site091, 1.0
Chalci, Ohasta, Site120, 1.0
Ichnin, Oobscu, Site120, 1.0
Strico, Hoblit, Site294, 1.0
Chalci, Ovimin, Site185, 1.0
Pdolic, Oviril, Site041, 1.0
Sal10, Ovesic, Site041, 1.0
Sal14, Elappo, Site071, 1.0
Svesic, Elappc, Site352, 1.0
Pdolic, Ohelve, Site034, 1.0
Svesic, Oproxi, Site189, 1.0
Eacicu, Ovaria, Site064, 1.0
Chalci, Obridg, Site171, 1.0
Ealbit, Ovesic, Site060, 1.0
Strico, Hplicg, Site346, 1.0
Svesic, Eweiff, Site233, 1.0
